game_id,round,region,scheduled_tip_utc,team_id_a,team_id_b,school_a,school_b,abbrev_a,abbrev_b,status,clock,score_a,score_b
S-FF-1,first_four,South,2026-03-18T22:40:00.000Z,S16A,S16B,Prairie View A&M,Lehigh,PVAMU,LEHIGH,,,,
MW-FF-1,first_four,Midwest,2026-03-19T01:15:00.000Z,MW11A,MW11B,Miami (Ohio),SMU,MIAOH,SMU,,,,
W-FF-1,first_four,West,2026-03-17T23:00:00.000Z,W11A,W11B,Texas,NC State,TEXAS,NCST,,,,
MW-FF-2,first_four,Midwest,2026-03-17T22:40:00.000Z,MW16A,MW16B,Howard,UMBC,HOWARD,UMBC,,,,
E-R64-1,round_of_64,East,2026-03-19T18:50:00.000Z,E16,E01,Siena,Duke,SIENA,DUKE,,,,
E-R64-2,round_of_64,East,2026-03-19T16:15:00.000Z,E09,E08,TCU,Ohio State,TCU,OSU,,,,
E-R64-3,round_of_64,East,2026-03-20T23:10:00.000Z,E12,E05,Northern Iowa,St. John's,UNI,STJOHN,,,,
E-R64-4,round_of_64,East,2026-03-21T01:45:00.000Z,E13,E04,Cal Baptist,Kansas,CBU,KU,,,,
E-R64-5,round_of_64,East,2026-03-19T17:30:00.000Z,E11,E06,South Florida,Louisville,USF,LOUIS,,,,
E-R64-6,round_of_64,East,2026-03-19T20:05:00.000Z,E14,E03,North Dakota State,Michigan State,NDSU,MSU,,,,
E-R64-7,round_of_64,East,2026-03-20T23:25:00.000Z,E10,E07,UCF,UCLA,UCF,UCLA,,,,
E-R64-8,round_of_64,East,2026-03-21T02:00:00.000Z,E15,E02,Furman,UConn,FUR,CONN,,,,
W-R64-1,round_of_64,West,2026-03-20T17:35:00.000Z,W16,W01,Long Island,Arizona,LIU,ZONA,,,,
W-R64-2,round_of_64,West,2026-03-20T20:10:00.000Z,W09,W08,Utah State,Villanova,UTST,NOVA,,,,
W-R64-3,round_of_64,West,2026-03-19T17:50:00.000Z,W12,W05,High Point,Wisconsin,HPU,WIS,,,,
W-R64-4,round_of_64,West,2026-03-19T20:25:00.000Z,W13,W04,Hawaii,Arkansas,HAWAII,ARK,,,,
W-R64-5,round_of_64,West,2026-03-19T23:25:00.000Z,W11A,W06,Texas,BYU,TEXAS,BYU,,,,
W-R64-6,round_of_64,West,2026-03-20T02:00:00.000Z,W14,W03,Kennesaw State,Gonzaga,KENNST,GONZ,,,,
W-R64-7,round_of_64,West,2026-03-21T02:10:00.000Z,W10,W07,Missouri,Miami,MIZZOU,MIAMI,,,,
W-R64-8,round_of_64,West,2026-03-20T23:35:00.000Z,W15,W02,Queens,Purdue,QUEENS,PUR,,,,
S-R64-1,round_of_64,South,2026-03-19T23:10:00.000Z,,S01,,Florida,,FLA,,,,
S-R64-2,round_of_64,South,2026-03-20T22:50:00.000Z,S09,S08,Iowa,Clemson,IOWA,CLEM,,,,
S-R64-3,round_of_64,South,2026-03-19T19:15:00.000Z,S12,S05,McNeese,Vanderbilt,MCNEES,VANDY,,,,
S-R64-4,round_of_64,South,2026-03-19T16:40:00.000Z,S13,S04,Troy,Nebraska,TROY,NEB,,,,
S-R64-5,round_of_64,South,2026-03-19T22:50:00.000Z,S11,S06,VCU,North Carolina,VCU,UNC,,,,
S-R64-6,round_of_64,South,2026-03-20T01:25:00.000Z,S14,S03,Penn,Illinois,PENN,ILL,,,,
S-R64-7,round_of_64,South,2026-03-19T23:35:00.000Z,S10,S07,Texas A&M,Saint Mary's,TXAM,STMARY,,,,
S-R64-8,round_of_64,South,2026-03-20T02:10:00.000Z,S15,S02,Idaho,Houston,IDAHO,HOU,,,,
MW-R64-1,round_of_64,Midwest,2026-03-19T23:10:00.000Z,MW16A,MW01,Howard,Michigan,HOWARD,MICH,,,,
MW-R64-2,round_of_64,Midwest,2026-03-20T01:45:00.000Z,MW09,MW08,Saint Louis,Georgia,SLU,UGA,,,,
MW-R64-3,round_of_64,Midwest,2026-03-20T16:40:00.000Z,MW12,MW05,Akron,Texas Tech,AKRON,TTU,,,,
MW-R64-4,round_of_64,Midwest,2026-03-20T19:15:00.000Z,MW13,MW04,Hofstra,Alabama,HOF,BAMA,,,,
MW-R64-5,round_of_64,Midwest,2026-03-20T16:15:00.000Z,,MW06,,Tennessee,,TENN,,,,
MW-R64-6,round_of_64,Midwest,2026-03-20T17:50:00.000Z,MW14,MW03,Wright State,Virginia,WRIGHT,UVA,,,,
MW-R64-7,round_of_64,Midwest,2026-03-20T16:15:00.000Z,MW10,MW07,Santa Clara,Kentucky,SCLARA,UK,,,,
MW-R64-8,round_of_64,Midwest,2026-03-20T18:50:00.000Z,MW15,MW02,Tennessee State,Iowa State,TNST,IAST,,,,
E-R32-1,round_of_32,East,,,,,,,,,,,
E-R32-2,round_of_32,East,,,,,,,,,,,
E-R32-3,round_of_32,East,,,,,,,,,,,
E-R32-4,round_of_32,East,,,,,,,,,,,
E-S16-1,sweet_16,East,,,,,,,,,,,
E-S16-2,sweet_16,East,,,,,,,,,,,
E-E8-1,elite_8,East,,,,,,,,,,,
W-R32-1,round_of_32,West,,,,,,,,,,,
W-R32-2,round_of_32,West,,,,,,,,,,,
W-R32-3,round_of_32,West,,,,,,,,,,,
W-R32-4,round_of_32,West,,,,,,,,,,,
W-S16-1,sweet_16,West,,,,,,,,,,,
W-S16-2,sweet_16,West,,,,,,,,,,,
W-E8-1,elite_8,West,,,,,,,,,,,
S-R32-1,round_of_32,South,,,,,,,,,,,
S-R32-2,round_of_32,South,,,,,,,,,,,
S-R32-3,round_of_32,South,,,,,,,,,,,
S-R32-4,round_of_32,South,,,,,,,,,,,
S-S16-1,sweet_16,South,,,,,,,,,,,
S-S16-2,sweet_16,South,,,,,,,,,,,
S-E8-1,elite_8,South,,,,,,,,,,,
MW-R32-1,round_of_32,Midwest,,,,,,,,,,,
MW-R32-2,round_of_32,Midwest,,,,,,,,,,,
MW-R32-3,round_of_32,Midwest,,,,,,,,,,,
MW-R32-4,round_of_32,Midwest,,,,,,,,,,,
MW-S16-1,sweet_16,Midwest,,,,,,,,,,,
MW-S16-2,sweet_16,Midwest,,,,,,,,,,,
MW-E8-1,elite_8,Midwest,,,,,,,,,,,
FF-1,final_four,Final Four,2026-04-04T22:00:00.000Z,,,,,,,,,,
FF-2,final_four,Final Four,2026-04-05T00:30:00.000Z,,,,,,,,,,
NCG-1,championship,National Championship,2026-04-07T00:50:00.000Z,,,,,,,,,,
